"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Land area (sq. km)","AG.LND.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Afghanistan","AFG","Land area (sq. km)","AG.LND.TOTL.K2","","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","","",
"Angola","AGO","Land area (sq. km)","AG.LND.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","","",
"Albania","ALB","Land area (sq. km)","AG.LND.TOTL.K2","","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","27400","","",
"Andorra","AND","Land area (sq. km)","AG.LND.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","","",
"Arab World","ARB","Land area (sq. km)","AG.LND.TOTL.K2","","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235451.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235411.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235431.000061","11235251.000061","11235241.000061","11235251.000061","11235311.000061","11235331.000061","11235341.000061","11232831.000061","11232823.0000305","11232828.0000305","11232831.000061","11232639.0078735","11232640.0078583","11232647.0079041","11232647.0079041","11232647.0079041","11232647.0079041","","",
"United Arab Emirates","ARE","Land area (sq. km)","AG.LND.TOTL.K2","","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","71020","","",
"Argentina","ARG","Land area (sq. km)","AG.LND.TOTL.K2","","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","2736690","","",
"Armenia","ARM","Land area (sq. km)","AG.LND.TOTL.K2","","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","","",
"American Samoa","ASM","Land area (sq. km)","AG.LND.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
